No,Perusahaan,Alamat,KBLI
61.,PR  Oke Semar Gambang ,"Desa Parerejo, Parerejo, Purwodadi, Kabupaten Pasuruan, Jawa Timur Telp. 081********",10793
62.,BUL  Persekutuan dan Perkumpulan SUMBER TANI,"Dusun Woko Rahmat, Woko, Pajo, Kabupaten Dompu, Nusa Tenggara Barat Telp. 082*********",12011
63.,PR  PETRUS WANGGE,"KOTABARU, Desa/Kelurahan Kotabaru, Kec. Kota Baru, Kab. Ende, Kotabaru, Kota Baru, Kabupaten Ende, Nusa Tenggara Timur Telp. 081*********",10611
64.,CV  Raung Rimba Raya,Telp.,
65.,PT  Realindo Utama Delapan Tujuh,"SAPTORENGGO RT/RW 003/004 KEC. PAKIS, KAB. MALANG, Saptorenggo, Pakis, Kabupaten Malang, Jawa Timur Telp. 081*********",14120
66.,PT  Sedata Jaya Mas,"JALAN MARTINUS LUBIS, Rantauprapat, Rantau Utara, Kabupaten Labuhanbatu, Sumatera Utara Telp. 082*********",20123
67.,PT  Seribu Lokal Indonesia,Telp.,
68.,PT  Skl Logam Primamandiri,"Jl. Brigjen Katamso No. 17, Tanjung Uncang, Batu Aji, Kota Batam, Kepulauan Riau Telp. 085*********",
69.,PR  SLAMET BASUKI,"Kemiri Sewu RT 001RW 003, Cacaban Lor, Bener, Kabupaten Purworejo, Jawa Tengah Telp. 081*********",14111
70.,PT  Spo Agro Resources,"Jl. Pue Kodi Blok Pantai, Kayumalue  Pajeko, Palu Utara, Kota Palu, Sulawesi Tengah Telp. 082*********",10423
71.,CV  Subagiyo Plastindo,"CINDEREJO LOR RT. 001 RW. 004, Gilingan, Banjarsari, Kota Surakarta, Jawa Tengah Telp. 0271 - 719060",22299
72.,PT  Sumatera Palma Andalan,"Desa Tambangan, Desa/Kelurahan Tambangan, Kec. BTS. Ulu, Kab. Musi Rawas, Provinsi Sumatera Selatan, Tambangan, BTS. Ulu, Kabupaten Musi Rawas, Sumatera Selatan Telp. 07618655406",10431
73.,PT  Sumber Wijaya Sakti,"Trayem Bendo, Sirahan, Salam, Kabupaten Magelang, Jawa Tengah Telp. -",19291
74.,PT  Summit Travel Goods,"Jl. Raya Ngabul - Mantingan KM 1 No. 98, Ngabul, Tahunan, Kabupaten Jepara, Jawa Tengah Telp. 082*********",15121
75.,PT  Tandoox Global Indonesia,"Komplek Pergudangan DPR Blok B Nomor 343, Nerogtog, Pinang, Kota Tangerang, Banten Telp. 02155716855",
76.,PT  Tdci Plastic International,"JL MOJO, NGIJO KULON,  BURAN, TASIKMADU KAB. KARANGANYAR JAWA TENGAH, Buran, Tasikmadu, Kabupaten Karanganyar, Jawa Tengah Telp. (0721) 6013004",13133
77.,PT  Tirta Cipta Nugroho,"Jl. Gunung Kelir Kawasan Industri Wijayakusuma, Karanganyar, Tugu, Kota Semarang, Jawa Tengah Telp. 0248660202",20118
78.,PT  Varia Usaha Beton,"Dusun Jatikunci Desa Sumbersuko, Sumbersuko, Gempol, Kabupaten Pasuruan, Jawa Timur Telp. 085*********",23953
79.,PR  Wadzik Jaya,"Komplek LIK - IHT Gedung K, Megawon, Jati, Kabupaten Kudus, Jawa Tengah Telp. 085*********",12011
